,Datetime,Tweet Id,Text,Username
0,2022-11-08 23:59:59+00:00,1.59013E+18,"@PattiHarris @BloombergDotOrg @USCclimate What a waste of free air. Stop with the bullshit climate change. There is NO such thing!  It’s a money laundering ploy, plain and simple.",Sparky28292
1,2022-11-08 23:59:52+00:00,1.59013E+18,"⚡️⚡️Sustainable Water and Energy Solutions supporting Climate Change and Biodiversity Objectives through Innovation and Clean Technologies

Tomorrow ➡️#COP27 Event at #BlueZone #SDGPavilion 
 
Register at: https://t.co/R0626DV2NH

#WaterEnergySolutions #COP27 #SDGPavilion https://t.co/HHAuxL6cUF",SustDev
2,2022-11-08 23:59:47+00:00,1.59013E+18,@rainnwilson @elonmusk Coal and gas power equipment and factories needed to produce his products and nobody on the right denies climate change.,FreeMan71542585
3,2022-11-08 23:59:45+00:00,1.59013E+18,"@TheoFleury14 Someone needs to let these people know the climate changes everyday! Oh and we also had an ice age. The earth has a natural son of warming and cooling, we need to adapt to the earths natural cycle not try and change it! Stop strip mining the planet that will help a lot more",play101975
4,2022-11-08 23:59:45+00:00,1.59013E+18,"#California, #Arizona, and #Nevada Democrats: You have the power to save Democracy, to save abortion rights, social security, Medicare, fight for climate change. But you must vote! Go to your polling place! Our 3 states are falling behind #Voterizer #VoteBlue",winewatcher
5,2022-11-08 23:59:44+00:00,1.59013E+18,@PeterSweden7 Climate Change.,Del12F
6,2022-11-08 23:59:38+00:00,1.59013E+18,@ronin19217435 Weather potato is an alkie? More reason not to buy that climate change bullshit she’s selling….,Jmewill422
7,2022-11-08 23:59:37+00:00,1.59013E+18,"@kc2276 @AnaKasparian TX has catastrophic shutdowns while we had rolling blackouts as a norm in Enron days.  Now it's high heat, climate change that somehow prog TYT doesn't get",LPRey41
8,2022-11-08 23:59:34+00:00,1.59013E+18,"@nytimes i AM FREAKKING OUT RIGHT NOW!!
WE'RE ABOUT TO LITERALLY LOSE OUR DEMOCRASY AND THE WORLD IS GOING TO END IN 5 YEARS DUE TO CLIMATE CHANGE AND ULTRA NAZIS!!!!!!!

I LITERALLY CAN'T BREATH NOW!!!

AAAAAAAHHHHHHHHH!!!!!!!!!",EvanMantri
9,2022-11-08 23:59:26+00:00,1.59013E+18,@LeeSmithDC You need to read the book apocalypse never. Climate change is a canard. Humans have very little effect on climate. Every dystopian prediction has been wrong. Just wake up.,CMbongS108
10,2022-11-08 23:59:26+00:00,1.59013E+18,"@ewarren Vote like you want the states to decide on abortion right. (That's what our founding fathers wanted)
 Vote like you believe that this ""climate change"" BS has gone on too long!
Vote if you're tired of promises made and nothing done!
Vote for lower gas prices.
Vote for lower grocer",Darren4dabears
11,2022-11-08 23:59:24+00:00,1.59013E+18,@WhiteHouse Climate change is a hoax to control us more,REALBobbyCoons
12,2022-11-08 23:59:17+00:00,1.59013E+18,"It's quite inspiring to see ppl who create and innovate even beyond their comfort zones.
I believed when there's a will,there's truly a way.  #climatechange #EnergyCrisis https://t.co/tB0ze1FJCG",Sunylou
13,2022-11-08 23:59:13+00:00,1.59013E+18,"Climate change threatening 'things Americans value most,' report says - The Washington Post https://t.co/tHIRyxX5LD",BudGothmog44
14,2022-11-08 23:59:11+00:00,1.59013E+18,"They can’t accurately predict the weather for a week but we’re supposed to believe they can predict the weather 5/10 years from now?

Climate change is a hoax.

#ClimateScam",Mpho_kkk
15,2022-11-08 23:59:09+00:00,1.59013E+18,"@fxstguy @shillman1 Full transparency: last August we had a Monsoonal Storm that caused flooding in several homes adjacent to me. My home incurred a ""water incursion event"" but did not require drywall removal, etc. But the threat is real and it is getting worse with Climate Change.",Anti_SS_69
16,2022-11-08 23:59:06+00:00,1.59013E+18,@CTVNews You mean you reckless spending to change the climate is,GerbHarvy
17,2022-11-08 23:59:03+00:00,1.59013E+18,"@WhiteHouse Because climate change is the biggest hoax visited upon the citizens of Earth since the Y2K hoax. Folks with a lick of sense know this. 

We don't believe in it any more than we believe that democracy is on the ballot today. 

Dems are the only threat to democracy imo.",MarteCooksey
18,2022-11-08 23:58:55+00:00,1.59013E+18,"Para mudar o mundo você não precisa ser nenhum super herói, basta inspecionar seus atuais erros e corrigir-los. 

Essa mesma questão serve, para o meio ambiente! #nature #environmental #ClimateAction #climatechange #COP27",eduardodiasph
19,2022-11-08 23:58:55+00:00,1.59013E+18,"@jrpsaki This tweet does not instill hope, especially given that Democracy, climate change voting rights are all on the line. The worse thing to happen we stay even but no work gets done. The scariest thing to happen is a civil happened 2024 because of election deniers.",MsMiaSharp
20,2022-11-08 23:58:42+00:00,1.59013E+18,Time To Just Stop Oil #JustStopOil #COP27    #ClimateChange #Pollution https://t.co/yb7jhht18r,ZedTrafficker
21,2022-11-08 23:58:36+00:00,1.59013E+18,@coffee_anytime Climate change. So many predictions have been proven false,MarcosDB1955
