,Datetime,Tweet Id,Text,Username
0,2022-11-12 23:59:58+00:00,1591581600252571648, Biden has done more damage in a short time than any President of my life time.,al89556573
1,2022-11-12 23:59:57+00:00,1591581597282684929,Obama and Biden should be sharing a cell.,TommyJAllTheWay
2,2022-11-12 23:59:57+00:00,1591581595722346496,  No house majority means endless Hunter Biden investigations and impeachment hearings. No meaningful legislation will be passed. And that’s just for starters. No house majority is a disaster and we can thank New York and Florida.  But expect ally New York democrats.,ConservaWatch
3,2022-11-12 23:59:57+00:00,1591581595143933952,   ,LesLo2021
4,2022-11-12 23:59:57+00:00,1591581594799800320,even if we got majority would current leadership impeach biden investigate hunter investigate Ilhan omar for campaign funds abuse etc no. they wouldn't they'd whine on social,Buffyinnyc
5,2022-11-12 23:59:56+00:00,1591581593256472576, biden needs to look at his own staff family and admin first,BobJ269u2
6,2022-11-12 23:59:56+00:00,1591581593243713537,"75  And so are Stocks. For investors. However, I definitely prefer using Crypto to buy products, instead of paper fiat Biden Administration keeps pumping out Willy Nilly.",WildThingTrades
7,2022-11-12 23:59:56+00:00,1591581591016706048," European Union can't let go 740DaysOfTigrayGenocide‼  an punished in 2022  

Yes and we call         to
 Address justice for Tigrayans
 StopTigrayGenocide‼
 EritreaOutOfTigray",getish_desta
8,2022-11-12 23:59:53+00:00,1591581581915095040,"Joe Biden will China  Biden will in einem Gespräch mit Xi Jinping darauf hinweisen, dass die USA im Falle einer Eskalation der von Nordkorea ausgehenden Bedrohungen gezwungen sein werden, ihre militärische Präsenz in der asiatisch-pazifischen Region auszuweiten ",KalinkinJuri
9,2022-11-12 23:59:53+00:00,1591581580421726208," Quem se lembra de Biden entregar, para a então presidenta Dilma Rousseff, documentos sobre os EUA e o golpe militar brasileiros de 1964?",shspjornal
10,2022-11-12 23:59:53+00:00,1591581578513494018,"Fox News: It is ‘absolutely’ time for Biden to visit Ukraine: Ukrainian PM



NewsInVids NewsInVidsCom WorldNewsInVids NewsVideos NewsInVideos",NewsInVids
11,2022-11-12 23:59:51+00:00,1591581572288942082,"2022   1371 2017 510  Yes, Biden is trying to clean up the mess he created. It's like the arsonist getting credit for saving a half burnt building he set on fire.",Vivavoom3
12,2022-11-12 23:59:50+00:00,1591581568631734272, 2021 28530407    And biden..,Peter70747759
13,2022-11-12 23:59:49+00:00,1591581563451498498, @7th_Rule  The only way that’s going to happen is if they cheat after all they did install Biden like a toilet last election and believe me he’s definitely crapped on America..,AnnMora80731558
14,2022-11-12 23:59:48+00:00,1591581560700112902,"Xi participará en la Cumbre del G20 y la APEC  

El presidente chino mantendrá reuniones bilaterales con su par francés, Emmanuel Macron y el presidente estadounidense, Joe Biden.

Detalles en  

China G20 APEC JoeBiden EEUU Macron Pekin Asia",Descubre_China
15,2022-11-12 23:59:48+00:00,1591581559945150464, Uh…joe biden?,Whyubeesocraze2
16,2022-11-12 23:59:47+00:00,1591581556514201601,Biden lanzándose a un segundo término presidencial,fabulosospucas
17,2022-11-12 23:59:47+00:00,1591581555700695041," Why, do you think Michelle Obama needs another one? Or Dr. Biden?",SewCra
18,2022-11-12 23:59:47+00:00,1591581553632894977," The fact that you said that we can have no division and then made a divisive comment about Biden says all we need to know about you. So yes, you made yourself clear. ",donkeysvoteblue
19,2022-11-12 23:59:46+00:00,1591581551242145792," Biden, not Trump",errinle
